S,E,I,R,N,A,C,D,H,L,Qi,Qa,S_0,E_0,I_0,R_0,N_0,A_0,C_0,D_0,H_0,L_0,Qi_0,Qa_0,S_1,E_1,I_1,R_1,N_1,A_1,C_1,D_1,H_1,L_1,Qi_1,Qa_1,S_2,E_2,I_2,R_2,N_2,A_2,C_2,D_2,H_2,L_2,Qi_2,Qa_2,S_3,E_3,I_3,R_3,N_3,A_3,C_3,D_3,H_3,L_3,Qi_3,Qa_3,S_4,E_4,I_4,R_4,N_4,A_4,C_4,D_4,H_4,L_4,Qi_4,Qa_4,S_5,E_5,I_5,R_5,N_5,A_5,C_5,D_5,H_5,L_5,Qi_5,Qa_5,S_6,E_6,I_6,R_6,N_6,A_6,C_6,D_6,H_6,L_6,Qi_6,Qa_6,S_7,E_7,I_7,R_7,N_7,A_7,C_7,D_7,H_7,L_7,Qi_7,Qa_7,S_8,E_8,I_8,R_8,N_8,A_8,C_8,D_8,H_8,L_8,Qi_8,Qa_8,S_9,E_9,I_9,R_9,N_9,A_9,C_9,D_9,H_9,L_9,Qi_9,Qa_9,S_10,E_10,I_10,R_10,N_10,A_10,C_10,D_10,H_10,L_10,Qi_10,Qa_10,S_11,E_11,I_11,R_11,N_11,A_11,C_11,D_11,H_11,L_11,Qi_11,Qa_11,S_12,E_12,I_12,R_12,N_12,A_12,C_12,D_12,H_12,L_12,Qi_12,Qa_12,S_13,E_13,I_13,R_13,N_13,A_13,C_13,D_13,H_13,L_13,Qi_13,Qa_13,S_14,E_14,I_14,R_14,N_14,A_14,C_14,D_14,H_14,L_14,Qi_14,Qa_14,S_15,E_15,I_15,R_15,N_15,A_15,C_15,D_15,H_15,L_15,Qi_15,Qa_15,Ri,Ri_0,Ri_1,Ri_2,Ri_3,Ri_4,Ri_5,Ri_6,Ri_7,Ri_8,Ri_9,Ri_10,Ri_11,Ri_12,Ri_13,Ri_14,Ri_15,
-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,-nan,-nan,-nan,-nan,-nan,0.000000,-nan,0.000000,-nan,-nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
